municipio,link_portal_transp,link_prefeitura,observacoes,fornecedor,tipo_fornecer,Fornecedor: Gestões Anteriores,,,,,,,,,,,
Brejo do Cruz,http://www.brejodocruz.pb.gov.br/portal-da-transparencia,http://www.brejodocruz.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Brejo dos Santos,http://brejodossantos.pb.gov.br/?page_id=975,http://brejodossantos.pb.gov.br/,,DC Soluções,Único,N/A,,,,,,,,,,,
Caaporã,http://www.caapora.pb.gov.br/transparencia,http://www.caapora.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Cabaceiras,http://www.cabaceiras.pb.gov.br/portal-da-transparencia,http://www.cabaceiras.pb.gov.br/,,Publicsoft / Grupo Assesi,Múltiplos,Aspec Informática,,,,,,,,,,,
Cabedelo,http://cabedelo.pb.gov.br/transparencia/index.asp,http://cabedelo.pb.gov.br/,,Publicsoft / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Cachoeira dos Índios,http://www.governotransparentecachoeiradosindios.com/,http://www.cachoeiradosindios.pb.gov.br/,Dois portais pela mesma empresa,Elmar Tecnologia,Único,Elmar Tecnologia,,,,,,,,,,,
Cacimba de Areia,http://cacimbadeareia.pb.gov.br/assuntos/portal-da-transparencia,http://cacimbadeareia.pb.gov.br/,,EasyWeb / Publicsoft / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Cacimba de Dentro,http://www.cacimbadedentro.pb.gov.br/portaldatransparencia/,http://www.cacimbadedentro.pb.gov.br/,,Publicsoft,Único,Elmar Tecnologia,,,,,,,,,,,
Cacimbas,http://www.siteseticons.com.br/portal/ws/empresa/MDE2MTI2ODYwMDAxMzQ=,http://cacimbas.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Caiçara,http://transparencia.caicara.pb.gov.br/,http://www.caicara.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,Aspec Informática / Publicsoft,,,,,,,,,,,
Cajazeiras,http://cajazeiras.pb.gov.br/transparencia/,https://cajazeiras.pb.gov.br/,,Publicsoft / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Cajazeirinhas,http://www.cajazeirinhas.pb.gov.br/portal-da-transparencia.html,http://www.cajazeirinhas.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Caldas Brandão,http://www.caldasbrandao.pb.gov.br/transparencia/,http://www.caldasbrandao.pb.gov.br/,Abre modal,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
