municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,mean_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Areia,Dfs,2019-12-09T15:08:18Z,61,52,3,2,0.9454545454545454,0.9629629629629629,0.9541284403669724,35,2128134,43263551,721,20,34.459016393442624,157,2102,Alfa Consultoria / Publicsoft,all_itens
Areia,Epsilon-greedy,2019-11-19T07:05:57Z,61,48,5,4,0.9056603773584906,0.9230769230769231,0.9142857142857143,36,2149379,18412504,307,17,45.114754098360656,97,2752,Alfa Consultoria / Publicsoft,all_itens
Areia,Epsilon-greedy,2019-12-01T21:04:58Z,61,52,3,2,0.9454545454545454,0.9629629629629629,0.9541284403669724,39,2349309,12986035,216,20,35.19672131147541,123,2147,Alfa Consultoria / Publicsoft,all_itens
Areia,Epsilon-greedy,2019-12-04T17:32:02Z,61,53,3,2,0.9464285714285714,0.9636363636363636,0.9549549549549549,34,2037501,17048948,284,20,31.360655737704917,117,1913,Alfa Consultoria / Publicsoft,all_itens
Areia,Epsilon-greedy,2019-12-09T15:08:27Z,61,52,3,2,0.9454545454545454,0.9629629629629629,0.9541284403669724,33,1950785,14718002,245,19,27.60655737704918,89,1684,Alfa Consultoria / Publicsoft,all_itens
Areia de Baraúnas,Bfs,2019-11-19T22:39:43Z,61,48,2,3,0.96,0.9411764705882353,0.9504950495049505,24,1430714,2640282,44,14,15.475409836065573,24,944,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Bfs,2019-11-28T02:39:38Z,61,48,2,3,0.96,0.9411764705882353,0.9504950495049505,17,1038378,1142249,19,19,15.049180327868852,20,918,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Bfs,2019-12-09T19:30:04Z,61,48,2,3,0.96,0.9411764705882353,0.9504950495049505,29,1767640,1814209,30,19,15.049180327868852,20,918,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Dfs,2019-11-26T00:08:58Z,61,47,3,3,0.94,0.94,0.94,38,2308614,34259557,571,23,28.0327868852459,113,1710,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Dfs,2019-12-05T01:16:05Z,61,43,14,0,0.7543859649122807,1,0.86,15,895841,2089232,35,13,12.311475409836065,23,751,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Dfs,2019-12-05T01:16:06Z,61,43,14,0,0.7543859649122807,1,0.86,15,901113,2103946,35,13,12.311475409836065,23,751,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Epsilon-greedy,2019-11-28T18:22:13Z,61,48,2,3,0.96,0.9411764705882353,0.9504950495049505,30,1803813,7686001,128,20,21.901639344262296,67,1336,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Epsilon-greedy,2019-12-05T16:57:51Z,61,46,8,2,0.8518518518518519,0.9583333333333334,0.9019607843137256,14,813942,19504611,325,13,19.639344262295083,93,1198,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Epsilon-greedy,2019-12-06T17:01:05Z,61,47,3,3,0.94,0.94,0.94,32,1893246,7704415,128,20,21.83606557377049,67,1332,EasyWeb / Publicsoft / e-TICons,all_itens
Areia de Baraúnas,Epsilon-greedy,2019-12-09T19:13:47Z,61,48,2,3,0.96,0.9411764705882353,0.9504950495049505,27,1625658,7354002,123,19,20.131147540983605,65,1228,EasyWeb / Publicsoft / e-TICons,all_itens
Barra de Santa Rosa,Bfs,2019-11-20T18:15:11Z,61,47,11,3,0.8103448275862069,0.94,0.8703703703703703,37,2200642,11697938,195,19,26.688524590163933,119,1628,Portal Próprio / Elmar Tecnologia,all_itens
